Name,LunchRating
Orudeidainingurajou  ,3.38
Steak Frites Gaspard zinzin  ,3.33
KAZUMA  ,
okonomiyakiteppanyakimiki  ,
Shaofeiyan  ,3.05
okuta-va  ,3.11
Resort dining&bar HaLe  ,3.0
Sumika  ,
Gayagaya  ,
Ishibekoujimamecha  ,
nagoyako-chintokoshitsuizakayatorisai  ,
Gionabesu  ,3.56
nishikimachinoakarishoutengai  ,
gionni-yongo  ,3.75
Mumon  ,
itariandainingutoreotto  ,3.03
Sukiyakisunibiizakayahokuto  ,
Sakaean  ,3.06
biakicchinnikubarujikabiyajikabiya  ,
ANAGOYA NORESORE  ,3.55
bejo-tamucho  ,
TENTATION  ,
Izakayariraku  ,
kyoutohyouto  ,3.58
Robatayagaburi  ,
Kushiyachouemon  ,3.02
Torattoriaviare  ,3.31
Komefuku  ,
Togiya  ,
kushiyakimanten  ,3.04
Kurogewagyuutenshou  ,3.16
Chizutakkarubikoshitsubaruvino  ,
teppandainingukyoushikian  ,
Yasuma  ,
In the Soup.  ,
Gionyakinikukokoro  ,
daininguba-daburyu-  ,
Kyoutodaina  ,3.32
Zasoudouhigashiyamakyouto  ,3.58
Gokyou  ,
Ichifuji  ,
Tsukihikarasuma  ,3.03
Kyoutotempuraendou  ,3.59
Resutoraniro  ,
Shuteimichiya  ,
Trattoria La Pace  ,3.51
Izakayabambu  ,
Peppa  ,
Banikuryourisemmontenumayarou  ,
Teppanryourihanaroku  ,
Kyoutohanabi  ,
Kyoutohananomai  ,
pontochoutanrakuyatoriume  ,
Osakanadekoboko  ,
Sunny  ,3.35
Gochiya  ,3.1
Shusaijoujou  ,3.03
o-rudeidainingukaza  ,3.52
Yakinikudainingukinoe  ,3.51
Manjirou  ,3.53
Sakayaagurema  ,
chuugokuryourichimmin  ,3.52
Hanasaki  ,3.58
nikushokusakabagaru  ,
furenchidainingutoppuobukyouto  ,3.06
takaradoukarasuma  ,
Ikedayahananomai  ,3.06
Kyoutogiontempurayasakaendou  ,3.68
Ryoumashamonoujou  ,3.0
Komefuku  ,3.56
Gionkyouryourihanasaki  ,3.45
Izakayashinoomiya  ,
Ittetsugurache  ,3.32
Ichishun  ,3.4
Nikokubaru  ,
Teppansakuwan  ,
RIGOLETTO SMOKE GRILL & BAR  ,3.51
Kugurinaberoppakuya  ,3.12
Kyouryouritategami  ,3.2
Pontochourobin  ,3.5
BELLOTA concha  ,3.06
Bejitejiya  ,
Matsuzakagyuuwattsuzakicchin  ,
Sushidokoroima  ,
Maribuagaru  ,
Italian bar Lugol  ,3.04
Takishokudou  ,
Bar Pleasure  ,
Sou  ,
Kaisenizakayamatsurishungyotokyouyasaitoosakenoomise  ,
Momojirou  ,
Yakinikusakayaisshin  ,3.05
Kyouhonoka  ,
Ampan  ,3.0
rino  ,3.2
REAL NETA DINING ICHIZ  ,3.0
nikubaruginjirou  ,
Kushikatsutanaka  ,
nihonshusumiyakiyaiki  ,3.0
Taketori  ,
Pierupureshiuzu  ,3.06
Yamadaruma  ,3.03
unagihitsumabushisumiyagura  ,3.21
pittsuxeriaba-rurenapori  ,3.52
kyoutoufusousakuhirarinteikakurean  ,
Yakinikusebun  ,
Kushiyakimanten  ,
Yakinikuichiba  ,
Pizzeria e Bar La Voce  ,3.05
Nyavetonamu  ,3.02
Taishuusakabatenuzumasatenjingawaten  ,
hoterukeihankyoutogurandeokujoubiaga-den  ,
Gionramburu  ,3.06
Shisui  ,
gyouzaba-anzukko  ,
jukuseiyakinikupondo  ,3.09
KORAN  ,
Kyoutonijoutosaka  ,3.57
YAMAMURA GYUUBEI  ,3.06
Poquito  ,
Machiyashisenhoshitsukiyo  ,3.56
Ameirobisutoroaruru  ,3.06
LODGE  ,3.0
Yosuke YAMAJI  ,3.75
Feliz-Lana  ,3.06
Wakanoshizuku  ,
